damage,,,single,0.8,< account for missing units,,,,,no,scalars,,,,total,AOE ,ST,PROJ,first target,ADDED,ADDED,,,SINGLE TARGET,,% scaling per second,,,AREA OF EFFECT,,,% scaling per second
Gravity Well,5,2,9,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,23.0,,18.00,0.25,0.25,FALSE,1.00,6,10,,,0.0%,0.0%,38.0%,0.0%,,0.0%,0.0%,112.7%,0.0%
Arcane Surge,7.6,3,14,0.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,17.5,38.0,,33.60,1.00,1.00,TRUE,1.54,0,0,,,0.0%,49.5%,107.5%,0.0%,,0.0%,77.4%,168.0%,0.0%
Flame Barrage,6,1,7,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,22.0,33.0,,7.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,25.7%,38.5%,0.0%,,0.0%,25.7%,38.5%,0.0%
Soul Bomb,3,4,1,0.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,65.0,100.0,,3.20,1.00,1.30,TRUE,1.85,0,0,,,0.0%,52.1%,80.2%,0.0%,,0.0%,69.3%,106.7%,0.0%
Star Fall,0.35,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,39.0,19.6,1.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,0.0%,111.4%,56.0%,,0.0%,0.0%,111.4%,56.0%
Familiar - Bat,5,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,42,,1.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,0.0%,8.4%,0.0%,,0.0%,0.0%,8.4%,0.0%
Familiar - Snake,5.9,3,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,42,,6.00,1.00,2.00,FALSE,1.00,0,0,,,0.0%,0.0%,28.5%,0.0%,,0.0%,0.0%,42.7%,0.0%
Whirlwind,9,3,6,0.8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,39.0,18.0,39.0,,14.40,1.00,1.00,TRUE,1.54,0,0,,,39.9%,18.4%,39.9%,0.0%,,62.4%,28.8%,62.4%,0.0%
Crimson Moon,16,1,15,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,68.0,,68.0,,15.00,1.00,1.00,FALSE,1.00,0,0,,,63.8%,0.0%,63.8%,0.0%,,63.8%,0.0%,63.8%,0.0%
Flash Strike,8,1,7,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,62.0,,62.0,,7.00,1.00,1.00,FALSE,1.00,0,0,,,54.3%,0.0%,54.3%,0.0%,,54.3%,0.0%,54.3%,0.0%
Lunar Step,4.5,1,5,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,45.0,,45.0,,5.00,1.00,1.00,FALSE,1.00,0,0,,,50.0%,0.0%,50.0%,0.0%,,50.0%,0.0%,50.0%,0.0%
Crescent Slash,3.9,4,1,0.8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,137.0,,110.0,,3.20,1.00,1.00,TRUE,1.85,0,0,,,65.0%,0.0%,52.2%,0.0%,,112.4%,0.0%,90.3%,0.0%
Heavy Strike,2.6,3,1,0.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,123.0,56.0,,,2.40,1.00,1.00,TRUE,1.54,0,0,,,72.7%,33.1%,0.0%,0.0%,,113.5%,51.7%,0.0%,0.0%
Onslaught,2.4,1,19.6,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.9,2.4,2.4,2.4,19.60,1.00,1.00,FALSE,1.00,0,0,,,48.2%,19.6%,19.6%,19.6%,,48.2%,19.6%,19.6%,19.6%
Upward Strike,2.6,4,1,0.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,31.0,,,,3.20,1.00,1.00,TRUE,1.85,0,0,,,22.1%,0.0%,0.0%,0.0%,,38.2%,0.0%,0.0%,0.0%
Dash Strike,2.6,3,1,0.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,94.0,,,67.0,2.40,1.00,1.00,TRUE,1.54,0,0,,,55.5%,0.0%,0.0%,39.6%,,86.8%,0.0%,0.0%,61.8%
Force of Will,9,4,10,0.8,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5.5,5.5,,,32.00,1.00,1.00,TRUE,1.85,0,0,,,11.3%,11.3%,0.0%,0.0%,,19.6%,19.6%,0.0%,0.0%
Cross Strike,9,6,1,0.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,165.0,165.0,,,4.80,1.00,1.30,TRUE,2.54,0,0,,,60.4%,60.4%,0.0%,0.0%,,88.0%,88.0%,0.0%,0.0%
Punishment,3.5,5,3,0.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,25.0,25.0,,,12.00,1.00,1.00,TRUE,2.19,0,0,,,46.8%,46.8%,0.0%,0.0%,,85.7%,85.7%,0.0%,0.0%
shield slam,4,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,152.0,138.0,85.0,,1.00,1.00,1.00,FALSE,1.00,0,0,,,38.0%,34.5%,21.3%,0.0%,,38.0%,34.5%,21.3%,0.0%
Smite,12,5,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,251.0,441.0,,,5.00,1.00,1.00,TRUE,2.19,0,0,,,45.7%,80.3%,0.0%,0.0%,,104.6%,183.8%,0.0%,0.0%
Dark Fire,0.5,4,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,18.0,21.0,,,4.00,1.00,1.00,TRUE,1.85,0,0,,,66.6%,77.7%,0.0%,0.0%,,144.0%,168.0%,0.0%,0.0%
Burst Shield,5,3,1,0.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26.0,32.0,,,2.40,1.00,1.00,TRUE,1.54,0,0,,,8.0%,9.8%,0.0%,0.0%,,12.5%,15.4%,0.0%,0.0%
Revitalize,8,2,1,0.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,121.0,260.0,,,1.60,1.00,1.00,TRUE,1.25,0,0,,,18.9%,40.6%,0.0%,0.0%,,24.2%,52.0%,0.0%,0.0%
Flare,6,5,3,0.8,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,35.0,,50.0,12.00,1.00,1.00,TRUE,2.19,0,0,,,0.0%,38.2%,0.0%,54.6%,,0.0%,70.0%,0.0%,100.0%
Holy Field,12,3,6,0.8,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,75.0,,75.0,14.40,1.00,1.00,TRUE,1.54,0,0,,,0.0%,57.6%,0.0%,57.6%,,0.0%,90.0%,0.0%,90.0%
Medishot,7.5,3,2.67,0.8,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,75.0,,75.0,6.40,1.00,1.00,TRUE,1.54,0,0,,,0.0%,41.0%,0.0%,41.0%,,0.0%,64.0%,0.0%,64.0%
Messenger,8,1,10,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,90.0,,90.0,10.00,0.40,0.40,FALSE,1.00,0,0,,,0.0%,45.0%,0.0%,45.0%,,0.0%,45.0%,0.0%,45.0%
siphon,3.2,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,105,130,1.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,0.0%,32.8%,40.6%,,0.0%,0.0%,32.8%,40.6%
Seirei,2.2,1,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,33.0,33.0,49.0,2.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,30.0%,30.0%,44.5%,,0.0%,30.0%,30.0%,44.5%
Triple Throw,1.2,1,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,12.2,19.6,3.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,0.0%,30.5%,49.0%,,0.0%,0.0%,30.5%,49.0%
Cursed Throw,3,4,1,1.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,30.0,50.0,4.40,1.00,1.00,TRUE,1.85,7.5,1.5,,,0.0%,0.0%,93.5%,155.8%,,0.0%,0.0%,104.0%,173.3%
Realm Piercing Arrow,12,6,1,0.8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,280.0,280.0,4.80,1.00,1.00,TRUE,2.54,0,0,,,0.0%,0.0%,59.2%,59.2%,,0.0%,0.0%,112.0%,112.0%
Arrow Storm,6,1,8,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,20.0,29.0,8.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,0.0%,26.7%,38.7%,,0.0%,0.0%,26.7%,38.7%
Heaven Arrow,9.5,1,25,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,8.5,8.5,12.0,25.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,22.4%,22.4%,31.6%,,0.0%,22.4%,22.4%,31.6%
Arrow Rain,4.5,1,5,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,21.0,21.0,32.0,5.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,23.3%,23.3%,35.6%,,0.0%,23.3%,23.3%,35.6%
True Shot,5,4,4,0.8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,34.0,52.0,12.80,1.00,1.00,TRUE,1.85,0,0,,,0.0%,0.0%,50.3%,77.0%,,0.0%,0.0%,87.0%,133.1%
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
,,,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0.00,1.00,1.00,FALSE,1.00,0,0,,,,,,,,,,,
